Менші підрозділи,Unnamed: 1,"Роти, батареї","Батальйони, дивізіони",Unnamed: 4,unit_ru,unit_en,unit,uhit_short,division_ru,division_en,division,army_ru,army_en,army,district,main,mil_part,city,region,ru_s,ru_f,crimes,location,ua_f,ua_s,sourse
ffff,ffff,ffff,управление,ffff,"35-я отдельная гвардейская мотострелковая волгоградско-киевская ордена ленина, краснознамённая, орденов суворова и кутузова бригада",35th-Separate-Guards-Motorized-Rifle-Brigade,35-та окрема гвардійська мотострілецька бригада,35 огмсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 41659,г. Алейск,Алтайский край,52.4970352,82.7732311,Yes,Україна,30.530483275708967,50.43818733707336,https://t.me/rf200_nooow/40
ffff,ffff,ffff,управление,ffff,74-я отдельная гвардейская мотострелковая звенигородско-берлинская орденов суворова и кутузова бригада,74th-Separate-Guards-Motorized-Rifle-Brigade,74-та окрема гвардійська мотострілецька бригада,74 огмсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 21005,г. Юрга,Кемеровская область,55.7192733,84.9310085,Yes,Україна,30.53048327570901,50.43818733707376,
ffff,ffff,ffff,ffff,ffff,55-я отдельная мотострелковая бригада,55th-Motorized-Rifle-Brigade,55-та мотострілецька бригада,55 мсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 55115,г. Кызыл,Республики Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,управление,ffff,"120-та гвардійська артилерійська сталінградська червонопрапорна, ордена суворова бригада",120th-Artillery-Brigade,120-та артилерійська бригада,120 атбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 59361,г. Юрга,Кемеровская область,55.7192733,84.9310085,Yes,Україна,30.53048327570904,50.43818733707409,
ffff,ffff,ffff,управление,ffff,119-я ракетная бригада,119th-missile-brigade,119-та ракетна бригада,119 рабр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 49547,смт Єланський,Свердловская область,56.83411263323927,62.50906756430212,,,,,
ffff,ffff,ffff,підрозділи технічного забезпечення й обслуговуванн,ffff,61-ша зенітна ракетна бригада,61st-anti-aircraft-missile-brigade,61-ша зенітна ракетна бригада,61 зенрбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 31466,г. Бийск,Алтайский край,52.5132639,85.21293309102356,,,,,
ffff,ffff,ffff,ffff,ffff,35-я таллинская ордена красной звезды бригада управления,35th-Management-Brigade,35-та бригада управління,35 бру,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 57849,пгт Коченёво,Новосибирская область,55.01491205773895,82.19529610052419,,,,,
ffff,ffff,ffff,ffff,ffff,24-й инженерно-сапёрный полк,24th-engineering-sapper-regiment,24-й інженерно-саперний полк,24 исп,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,Невідомо,г. Кызыл,Республики Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,инженерно-сапёрный батальон,ffff,40-й инженерно-сапёрный полк,40th-engineering-sapper-regiment,40-й інженерно-саперний полк,40 исп,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 14330,г. Ишим,Тюменской области,69.48416142066039,56.11068016314096,,,,,
ffff,ffff,ffff,управление,ffff,10-й полк рхб защиты,The-10th-Regiment-of-RCB-Protection,10-й полк РХБ захисту,10 прхбз,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 55121,с. Топчиха,Алтайский край,52.82440735646754,83.1188882015979,,,,,
ffff,ffff,ffff,ffff,ffff,106-та окрема бригада мтз,106th-MTZ-brigade,106-та бригада МТЗ,106 брмтз,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 72154,г. Юрга,Кемеровская область,55.7192733,84.9310085,,,,,
ffff,ffff,ffff,ffff,ffff,41-ша окрема мотострілецька бригада,41st-Separate-Motorized-Rifle-Brigade,41-ша окрема мотострілецька бригада,41 омсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральный военный округ,Армія РФ,в/ч 55115,г. Кызыл,Республики Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,ffff,ffff,Управління 90-ї танкової дивізії,Management-of-the-90th-Tank-Division,Управління 90-ї танкової дивізії,У 90 тд,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та гвардійська танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральный военный округ,Армія РФ,в/ч 86274,г. Чебаркуль,Челябинская область,55.0011366,60.39364561431101,Yes,Лиман,37.807037048889136,48.98824669226301,https://militaryland.net/ukraine/deployment-map/
ffff,ffff,ffff,ffff,ffff,"6-й гвардейский танковый львовский ордена ленина, краснознамённый, орденов суворова, кутузова и богдана хмельницкого полк",6th-Guards-Tank-Regiment,6-й гвардійський танковий полк,6 гв тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та гвардійська танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральный военный округ,Армія РФ,в/ч 93992,г. Чебаркуль,Челябинская область,55.0011366,60.39364561431101,Yes,Попасна,38.37495638151852,48.63285725239968,
ffff,ffff,ffff,ffff,ffff,80-й танковый краснознамённый полк,80th-tank-regiment,80-й танковий полк,80 тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та гвардійська танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральный военный округ,Армія РФ,в/ч 87441,г. Чебаркуль,Челябинская область,55.0011366,60.39364561431101,,,,,
ffff,ffff,ffff,ffff,ffff,"239-й гвардейский танковый краснознамённый, орденов суворова, кутузова, александра невского оренбургский казачий полк",239th-Guards-Tank-Regiment,239-й гвардійський танковий полк,239 гв тп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та гвардійська танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральный военный округ,Армія РФ,в/ч 89547,г. Чебаркуль,Челябинская область,55.0011366,60.39364561431101,Yes,Україна,30.530483275708953,50.4381873370732,
ffff,ffff,ffff,ffff,ffff,228-й мотострелковый ленинградско-павловский краснознамённый полк,228th-Motorized-Rifle-Regiment,228-й мотострілецький полк,228 мсп,90-я гвардейская танковая Витебско-Новгородская дважды Краснознамённая дивизия,90th-Guards-Tank-Division,90-та гвардійська танкова дивізія,Окружного підпорядкування,District-subordination,Окружного підпорядкування,Центральный военный округ,Армія РФ,в/ч 22316,г. Екатеринбург,Свердловская область,56.746587,60.8017937,,,,,
