unit,unit_en,division,army,district,crimes,mil_part,region,city,uhit_short,id
,ffff,,,Західний військовий округ,False,в/ч 57062,Московська область,м. Калінінєц,ffff,Західний військовий округ
,ffff,,,Західний військовий округ,False,в/ч 58122,Московська область,м. Москва,ffff,Західний військовий округ.1-ша армія протиповітряної оборони
,25th-radio-technical-regiment,,,Західний військовий округ,False,в/ч 86655,Московська область,с. Нєстрєрово,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО
210-й зернітний ракетний полк,210th-Grain-Missile-Regiment,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 51890,Московська область,с. Дубровка,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.210-й зернітний ракетний полк
25-й радіотехнічний полк,25th-radio-technical-regiment,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 86655,Московська область,с. Нєстрєрово,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.25-й радіотехнічний полк
584-й зенітний ракетний полк,584th-Guards-anti-aircraft-missile-regiment,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 62845,Московська область,с. Марьіно,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.584-й зенітний ракетний полк
612-й зенітний ракетний полк,612th-Guards-anti-aircraft-missile-regiment,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 92925,Московська область,с. Глаголєво,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.612-й зенітний ракетний полк
93-й зенітний ракетний полк,93rd-Guards-Anti-aircraft-Missile-Regiment,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 51916,Московська область,с. Фуньково,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.93-й зенітний ракетний полк
Управління 4-ї дивізії ППО,Management-of-the-4th-Air-Defense-Division,4-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 52116,Московська область,м. Долгопрудний,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.4-та дивізія ППО.Управління 4-ї дивізії ППО
,9th-radio-technical-regiment,,,Західний військовий округ,False,в/ч 51858,Московська область,смт. Міхнєво-3,9 радп,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО
549-й зенітний ракетний полк,549th-anti-aircraft-missile-regiment,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 61991,Московська область,смт. Курілово,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.549-й зенітний ракетний полк
606-й зенітний ракетнйи полк,606th-Guards-anti-aircraft-missile-regiment,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 61996,Московська область,с. Електросталь,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.606-й зенітний ракетнйи полк
614-й зенітний ракетнйи полк,614th-Guards-anti-aircraft-missile-regiment,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 92574,Московська область,с. Пестово,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.614-й зенітний ракетнйи полк
629-й зенітний ракетнйи полк,629th-Guards-anti-aircraft-missile-regiment,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 51857,Московська область,с. Каблуково,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.629-й зенітний ракетнйи полк
9-й радіотехнічний полк,9th-radio-technical-regiment,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 51858,Московська область,смт. Міхнєво-3,9 радп,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.9-й радіотехнічний полк
Управління 5-ї дивізії ППО,Management-of-the-5th-Air-Defense-Division,5-та дивізія ППО,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 52096,Московська область,м. Відноє,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.5-та дивізія ППО.Управління 5-ї дивізії ППО
,1876-​​and-technical-base,,,Західний військовий округ,False,в/ч 02014,Московська область,с. Порядіно,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.9-та протиракетна дивізія
1876-та технічна база,1876-​​and-technical-base,9-та протиракетна дивізія,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 02014,Московська область,с. Порядіно,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.9-та протиракетна дивізія.1876-та технічна база
34-й полк зв'язку,34th-Regiment-of-Communication,9-та протиракетна дивізія,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 12517,Московська область,м. Клін,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.9-та протиракетна дивізія.34-й полк зв'язку
Управління 9-ї дивізії протиракетної оборони,Management-of-the-9th-Anti-Prace-Defense-Division,9-та протиракетна дивізія,1-ша армія протиповітряної оборони,Західний військовий округ,False,в/ч 75555,Московська область,смт. Софріно,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.9-та протиракетна дивізія.Управління 9-ї дивізії протиракетної оборони
Управління 1-ї армії,Management-of-the-1st-Army,Армійського підпорядкування,1-ша армія протиповітряної оборони,Західний військовий округ,False,Невідомо,Московська область,м. Балашиха,ffff,Західний військовий округ.1-ша армія протиповітряної оборони.Управління 1-ї армії
,Management-of-the-2nd-Motorial-Division,,,Західний військовий округ,False,в/ч 23626,Московська область,м. Калінінєц,ffff,Західний військовий округ.1-ша гвардійська танкова армія
,ffff,,,Західний військовий округ,False,в/ч 56166,Московська область,м. Калінінєц,ffff,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія
1-й мотострілецький полк,1st-Guards-Motorized-Rifle-Regiment,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 31135,Московська область,м. Калінінєц,1 гв мсп,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.1-й мотострілецький полк
1-й танковий полк,1st-Guards-Tank-Regiment,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 58198,Московська область,м. Калінінєц,1 гв тп,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.1-й танковий полк
1117-й зенітний ракетний полк,1117th-anti-aircraft-missile-regiment,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 51382,Московська область,м. Калінінєц,1117 зенрп,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.1117-й зенітний ракетний полк
147-й артилерійський самохідний полк,147th-artillery-self-propelled-regiment,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 73966,Московська область,м. Калінінєц,147 гв сап,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.147-й артилерійський самохідний полк
15-й мотострілецький полк,The-15th-Guards-Motorized-Rifle-Regiment,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 31134,Московська область,м. Калінінєц,15 гв мсп,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.15-й мотострілецький полк
Управління 2-ї мотострілецької дивізії,Management-of-the-2nd-Motorial-Division,2-га  мотострілецька дивізія,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 23626,Московська область,м. Калінінєц,ffff,Західний військовий округ.1-ша гвардійська танкова армія.2-га  мотострілецька дивізія.Управління 2-ї мотострілецької дивізії
,Management-of-the-4th-Tank-Division,,,Західний військовий округ,Yes,в/ч 19612,Московська область,м. Наро-Фомінськ,ffff,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія
12-й танковий полк,12th-Guards-Tank-Regiment,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 31985,Московська область,м. Наро-Фомінськ,12 гв тп,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.12-й танковий полк
13-й танковий полк,13th-Guards-Tank-Regiment,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 32010,Московська область,м. Наро-Фомінськ,13 гв тп,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.13-й танковий полк
275-й самохідний артилерійський полк,275th-Self-Product-Artillery-Regiment,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 73941,Московська область,м. Наро-Фомінськ,275 сап,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.275-й самохідний артилерійський полк
423-й мотострілецький полк,423th-Guards-Motorized-Rifle-Regiment,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,Невідомо,Московська область,м. Наро-Фомінськ,423 гвмсп,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.423-й мотострілецький полк
538-й зенітний ракетний полк,538th-Guards-anti-aircraft-missile-regiment,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 51383,Московська область,м. Наро-Фомінськ,538 зрп,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.538-й зенітний ракетний полк
Управління 4-ї танкової дивізії,Management-of-the-4th-Tank-Division,4-та  танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 19612,Московська область,м. Наро-Фомінськ,ffff,Західний військовий округ.1-ша гвардійська танкова армія.4-та  танкова дивізія.Управління 4-ї танкової дивізії
,Management-of-the-47th-Panzer-Division,,,Західний військовий округ,Yes,Невідомо,Нижньогородська область,смт. Муліно,ffff,Західний військовий округ.1-ша гвардійська танкова армія.47-я танкова дивізія
26-й танковий полк,26th-tank-regiment,47-я танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,Невідомо,Нижньогородська область,смт. Муліно,26 тп,Західний військовий округ.1-ша гвардійська танкова армія.47-я танкова дивізія.26-й танковий полк
Управління 47-ї танкової дивізії,Management-of-the-47th-Panzer-Division,47-я танкова дивізія,1-ша гвардійська танкова армія,Західний військовий округ,Yes,Невідомо,Нижньогородська область,смт. Муліно,ffff,Західний військовий округ.1-ша гвардійська танкова армія.47-я танкова дивізія.Управління 47-ї танкової дивізії
112-та ракетна бригада,112nd-missile-brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 03333,Іванівська область,м. Шуя,112 гв рбр,Західний військовий округ.1-ша гвардійська танкова армія.112-та ракетна бригада
20-й полк РХБ захисту,The-20th-Regiment-of-RCB-Protection,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 12102,Нижньогородська область,смт. Центральний,20 прхбз,Західний військовий округ.1-ша гвардійська танкова армія.20-й полк РХБ захисту
27-ма  мотострілецька бригада,27-Separate-Guards-Motorized-Rifle-Brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 61899,Московська область,м. Москва,27 гв омсбр,Західний військовий округ.1-ша гвардійська танкова армія.27-ма  мотострілецька бригада
288-ма артилерійська бригада,288-artillery-brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 30683,Нижньогородська область,смт. Муліно,288 абр,Західний військовий округ.1-ша гвардійська танкова армія.288-ма артилерійська бригада
49-та зенітна ракетна бригада,49th-anti-aircraft-missile-brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 21555,Смоленська область,м. Смоленськ,49 зрбр,Західний військовий округ.1-ша гвардійська танкова армія.49-та зенітна ракетна бригада
6-й інженерно-саперний полк,6th-engineering-sapl,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,False,Невідомо,Ярославська область,м. Ростов Вєлікій,6 ісап,Західний військовий округ.1-ша гвардійська танкова армія.6-й інженерно-саперний полк
60-та бригада управління,60th-Management-Brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,False,в/ч 76736,Московська область,смт. Селятіно,60 бру,Західний військовий округ.1-ша гвардійська танкова армія.60-та бригада управління
96-та розвідувальна бригада,96th-Separate-Intelligence-Brigade,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,Yes,в/ч 52634,Нижньогородська область,м. Нижній Новгород,96 орабр,Західний військовий округ.1-ша гвардійська танкова армія.96-та розвідувальна бригада
Управління 1-ї танкової армії,Management-of-the-1st-Tank-Army,Армійського підпорядкування,1-ша гвардійська танкова армія,Західний військовий округ,Yes,Невідомо,Московська область,м. Одінцово,ffff,Західний військовий округ.1-ша гвардійська танкова армія.Управління 1-ї танкової армії
,11th-tank-regiment,,,Західний військовий округ,False,в/ч 41611,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус
,The-280th-Guards-Motorized-Rifle-Regiment,,,Західний військовий округ,False,Невідомо,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус.18-та мотострілецька дивізія
11-й танковий полк,11th-tank-regiment,18-та мотострілецька дивізія,11-й армійський корпус,Західний військовий округ,False,в/ч 41611,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус.18-та мотострілецька дивізія.11-й танковий полк
275-й мотострілецький полк,275th-Guards-Motorized-Rifle-Regiment,18-та мотострілецька дивізія,11-й армійський корпус,Західний військовий округ,False,Невідомо,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус.18-та мотострілецька дивізія.275-й мотострілецький полк
280-й мотострілецький полк,The-280th-Guards-Motorized-Rifle-Regiment,18-та мотострілецька дивізія,11-й армійський корпус,Західний військовий округ,False,Невідомо,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус.18-та мотострілецька дивізія.280-й мотострілецький полк
79-й мотострілецький полк,79th-Guards-Motorized-Rifle-Regiment,18-та мотострілецька дивізія,11-й армійський корпус,Західний військовий округ,False,в/ч 63940,Калінінградська область,м. Совєтск,79-й гв мсп,Західний військовий округ.11-й армійський корпус.18-та мотострілецька дивізія.79-й мотострілецький полк
152-га ракетна бригада,152th-Guards-missile-brigade,Армійського підпорядкування,11-й армійський корпус,Західний військовий округ,False,в/ч 54229,Калінінградська область,м. Чєрняховськ, 152 гв рбр,Західний військовий округ.11-й армійський корпус.152-га ракетна бригада
22-й  зенітний ракетнйи полк,22nd-separate-Guards-anti-aircraft-missile-regiment,Армійського підпорядкування,11-й армійський корпус,Західний військовий округ,False,Невідомо,Калінінградська область,м. Калінінград,ffff,Західний військовий округ.11-й армійський корпус.22-й  зенітний ракетнйи полк
244-та артилерійська бригада,244th-Artillery-Brigade,Армійського підпорядкування,11-й армійський корпус,Західний військовий округ,False,в/ч 41603,Калінінградська область,м. Калінінград,244 абр,Західний військовий округ.11-й армійський корпус.244-та артилерійська бригада
7-й  мотострілецький полк,7th-Separate-Guards-Motorized-Rifle-Regiment,Армійського підпорядкування,11-й армійський корпус,Західний військовий округ,Yes,в/ч 06414,Калінінградська область,м. Калінінград,7 гв омсп,Західний військовий округ.11-й армійський корпус.7-й  мотострілецький полк
Управління 11-го армійського корпусу,The-management-of-the-11th-Army-Corps,Армійського підпорядкування,11-й армійський корпус,Західний військовий округ,Yes,Невідомо,Калінінградська область,м. Гусєв,ffff,Західний військовий округ.11-й армійський корпус.Управління 11-го армійського корпусу
,ffff,,,Західний військовий округ,False,ffff,Московська область,м. Краснознамєнск,ffff,Західний військовий округ.15-та армія повітряно - космічних сил
Управління 15 армії повітряно-космічних сил,Office-of-the-15th-Air-Force,Армійського підпорядкування,15-та армія повітряно - космічних сил,Західний військовий округ,False,Центр керування польотами,Московська область,м. Краснознамєнск,ffff,Західний військовий округ.15-та армія повітряно - космічних сил.Управління 15 армії повітряно-космічних сил
,Management-of-the-20th-Army,,,Західний військовий округ,Yes,в/ч 89425,Воронезька область,м. Вороніж,ffff,Західний військовий округ.20-та армія
,856th-Guards-Self-Produced-Artillery-Regiment,,,Західний військовий округ,Yes,в/ч 23857,Брянська область,м. Почеп,856 гв сап,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія
254-й мотострілецький полк,254th-Guards-Motorized-Rifle-Regiment,144-та  мотострілецька дивізія,20-та армія,Західний військовий округ,False,в/ч 91704,Брянська область,с. Займище,254 гв мсп,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія.254-й мотострілецький полк
488-й мотострілецький полк,488th-Motorized-Rifle-Regiment,144-та  мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 12721,Брянська область,м. Клінци,488 мсп,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія.488-й мотострілецький полк
59-й танковий полк,59th-Guards-Tank-Regiment,144-та  мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,Невідомо,Смоленська область,м. Єльня,59 гв тп,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія.59-й танковий полк
856-й самоходний артилерійський полк,856th-Guards-Self-Produced-Artillery-Regiment,144-та  мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 23857,Брянська область,м. Почеп,856 гв сап,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія.856-й самоходний артилерійський полк
Управління 144-ї мотострілецької дивізії,Management-of-the-144th-Motorial-Division,144-та  мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 23060,Смоленська область,м. Смоленськ,ffff,Західний військовий округ.20-та армія.144-та  мотострілецька дивізія.Управління 144-ї мотострілецької дивізії
,ffff,,,Західний військовий округ,False,ffff,ffff,ffff,ffff,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія
237-й танковий полк,237th-Panzer-Regiment,3-тя мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 91726,Білгородська область,м. Солоти,237 тп,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія.237-й танковий полк
252-й мотострілецький полк,252th-Guards-Motorized-Rifle-Regiment,3-тя мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 91711,Воронезька область,м. Богучар,252 гв мсп,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія.252-й мотострілецький полк
752-й мотострілецький полк,752th-Guards-Motorized-Rifle-Regiment,3-тя мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 34670,Білгородська область,м. Валуйкі,752 гв мсп,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія.752-й мотострілецький полк
99-й самохідний артилерійський полк,99th-Guards-Self-Propelled-Artillery-Regiment,3-тя мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 91727,Воронезька область,м. Богучар,99 гв сап,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія.99-й самохідний артилерійський полк
Управління 3-ї мотострілецької дивізії,Management-of-the-3rd-Motorial-Division,3-тя мотострілецька дивізія,20-та армія,Західний військовий округ,Yes,в/ч 54046,Нижньогородська область,м. Нижній Новгород,ffff,Західний військовий округ.20-та армія.3-тя мотострілецька дивізія.Управління 3-ї мотострілецької дивізії
236-та артилерійська бригада,236th-Artillery-Brigade,Армійського підпорядкування,20-та армія,Західний військовий округ,False,Невідомо,Московська область,м. Коломна,236 абр,Західний військовий округ.20-та армія.236-та артилерійська бригада
448-ма ракетна бригада,448-missile-brigade,Армійського підпорядкування,20-та армія,Західний військовий округ,Yes,в/ч 35535,Курська область,м. Курськ,448 рбр,Західний військовий округ.20-та армія.448-ма ракетна бригада
53-тя зенітна ракетна бригада,53-day-anti-aircraft-missile-brigade,Армійського підпорядкування,20-та армія,Західний військовий округ,Yes,в/ч 32406,Курська область,смт. Маршала Жукова,53 зрбр,Західний військовий округ.20-та армія.53-тя зенітна ракетна бригада
9-та бригада управління,9th-Guards-Brigade,Армійського підпорядкування,20-та армія,Західний військовий округ,False,в/ч 31895,Воронезька область,м. Вороніж,9 гв бру,Західний військовий округ.20-та армія.9-та бригада управління
Управління 20-ї армії,Management-of-the-20th-Army,Армійського підпорядкування,20-та армія,Західний військовий округ,Yes,в/ч 89425,Воронезька область,м. Вороніж,ffff,Західний військовий округ.20-та армія.Управління 20-ї армії
,Management-of-the-2nd-Air-Defense-Division,,,Західний військовий округ,False,в/ч 10953,Ленінградська область,смт. Хвойний,ffff,Західний військовий округ.6-та армія ВВс та ППО
,159th-Guards-Fighter-Aviation-Regiment,,,Західний військовий округ,False,в/ч 52906,Республіка Карелія,с. Бєсовєц,159-й гв иап,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія
14-й винищувальний авіаційни полк,14th-Guards-Fighter-Aviation-Regiment,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Воронезька область,м. Вороніж,14 гв иап,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.14-й винищувальний авіаційни полк
159-й винищувальний авіаційни полк,159th-Guards-Fighter-Aviation-Regiment,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,в/ч 52906,Республіка Карелія,с. Бєсовєц,159-й гв иап,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.159-й винищувальний авіаційни полк
47-й авіаційний полк,47th-Separate-Aviation-Regiment,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Воронезька область,м. Вороніж,ffff,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.47-й авіаційний полк
790-й винищувальний авіаціний полк,790th-Fighter-Air-Regiment,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Тверська область,с. Хотілово,790-й иап,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.790-й винищувальний авіаціний полк
899-й гвардіський штурмовий авіаційний полк,899th-Guards-Storm-Aviation-Regiment,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Воронезька область,с. Бутурліновка,ffff,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.899-й гвардіський штурмовий авіаційний полк
Управління 105-ї авіаційної дивізії,Management-of-the-105th-Aviation-Division,105-та  змішана авіаційна дивізія,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Ленінградська область,м. Санкт-Петербург,ffff,Західний військовий округ.6-та армія ВВс та ППО.105-та  змішана авіаційна дивізія.Управління 105-ї авіаційної дивізії
,Management-of-the-2nd-Air-Defense-Division,,,Західний військовий округ,False,в/ч 10953,Ленінградська область,смт. Хвойний,ffff,Західний військовий округ.6-та армія ВВс та ППО.2-га дивізія ППО
Управління 2-ї дивізії ППО,Management-of-the-2nd-Air-Defense-Division,2-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,в/ч 10953,Ленінградська область,смт. Хвойний,ffff,Західний військовий округ.6-та армія ВВс та ППО.2-га дивізія ППО.Управління 2-ї дивізії ППО
,336th-radio-technical-regiment,,,Західний військовий округ,False,Невідомо,Орловська область,м. Орєл,336 радп,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО
108-й зенітний ракетнйи полк,108th-anti-aircraft-missile-regiment,32-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,в/ч 51025,Московська область,м. Москва,ffff,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО.108-й зенітний ракетнйи полк
333-й радіотехнічний полк,333th-radio-technical-regiment,32-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,в/ч 17646,Ленінградська область,смт. Хвойний,333 радп,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО.333-й радіотехнічний полк
335-й радіотехнічний полк,335th-radio-technical-regiment,32-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,в/ч 18401,Ярославська область,м. Ярославль,335 радп,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО.335-й радіотехнічний полк
336-й радіотехнічний полк,336th-radio-technical-regiment,32-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Орловська область,м. Орєл,336 радп,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО.336-й радіотехнічний полк
337-й радіотехнічний полк,337th-radio-technical-regiment,32-га дивізія ППО,6-та армія ВВс та ППО,Західний військовий округ,False,Невідомо,Тверська область,м. Ржєв,337 радп,Західний військовий округ.6-та армія ВВс та ППО.32-га дивізія ППО.337-й радіотехнічний полк
