Менші підрозділи,Unnamed: 1,"Роти, батареї","Батальйони, дивізіони",Unnamed: 4,unit_ru,unit_en,unit,uhit_short,division_ru,division_en,division,army_ru,army_en,army,district,main,mil_part,city,region,ru_s,ru_f,crimes,location,ua_f,ua_s,sourse
ffff,ffff,ffff,ffff,ffff,Управління 41 армії,Management-of-41-armies,Управління 41 армії,У 41 а,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 64128,м. Новосибірськ,Новосибірська область,55.0534108,82.9057892,Yes,Луганська область,38.91834775646054,49.30136405354108,
ffff,ffff,ffff,управление,ffff,"35-я отдельная гвардейская мотострелковая волгоградско-киевская ордена ленина, краснознамённая, орденов суворова и кутузова бригада",35th-Separate-Guards-Motorized-Rifle-Brigade,35-та  мотострілецька бригада,35 огмсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 41659,м. Алейськ,Алтайський край,52.4970352,82.7732311,Yes,Україна,30.530483275708967,50.43818733707336,https://t.me/rf200_nooow/40
ffff,ffff,ffff,управление,ffff,74-я отдельная гвардейская мотострелковая звенигородско-берлинская орденов суворова и кутузова бригада,74th-Separate-Guards-Motorized-Rifle-Brigade,74-та  мотострілецька бригада,74 огмсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 21005,м. Юрга,Кемеровська область,55.7192733,84.9310085,Yes,Україна,30.53048327570901,50.43818733707376,
ffff,ffff,ffff,ffff,ffff,55-я отдельная мотострелковая бригада,55th-Motorized-Rifle-Brigade,55-та мотострілецька бригада,55 мсбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 55115,м. Кизил,Республіка Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,управление,ffff,"120-та гвардійська артилерійська сталінградська червонопрапорна, ордена суворова бригада",120th-Artillery-Brigade,120-та артилерійська бригада,120 атбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 59361,м. Юрга,Кемеровська область,55.7192733,84.9310085,Yes,Ізюм,37.25995007329404,49.211461075912645,
ffff,ffff,ffff,управление,ffff,119-я ракетная бригада,119th-missile-brigade,119-та ракетна бригада,119 рабр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 49547,смт. Єланський,Свердловська область,56.83411263323927,62.50906756430212,,,,,
ffff,ffff,ffff,підрозділи технічного забезпечення й обслуговуванн,ffff,61-ша зенітна ракетна бригада,61st-anti-aircraft-missile-brigade,61-ша зенітна ракетна бригада,61 зенрбр,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 31466,м. Бійськ,Алтайський край,52.5132639,85.21293309102356,,,,,
ffff,ffff,ffff,ffff,ffff,35-я таллинская ордена красной звезды бригада управления,35th-Management-Brigade,35-та бригада управління,35 бру,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 57849,смт. Коченьово,Новосибірська область,55.01491205773895,82.19529610052419,,,,,
ffff,ffff,ffff,ffff,ffff,24-й инженерно-сапёрный полк,24th-engineering-sapper-regiment,24-й інженерно-саперний полк,24 исп,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,Невідомо,м. Кизил,Республіка Тува,51.69891254128584,94.41223031531987,,,,,
ffff,ffff,ffff,инженерно-сапёрный батальон,ffff,40-й инженерно-сапёрный полк,40th-engineering-sapper-regiment,40-й інженерно-саперний полк,40 исп,ffff,Army-subordination,Армійського підпорядкування,41-я общевойсковая армия,41st-Army,41-ша армія,Центральний військовий округ,Армія РФ,в/ч 14330,м. Ішим,Тюменська область,69.48416142066039,56.11068016314096,,,,,
